id	departmento	Tipo trámite	URL
223	cofepris	260513	https://front.v30.ultrasist.net/cofepris/muestras-de-toxicos/plaguicidas
153	cofepris	260514	https://front.v30.ultrasist.net/cofepris/permiso-importacion-calidad/pantallas
224	cofepris	260515	https://front.v30.ultrasist.net/cofepris/sustancias-permitidas
225	cofepris	260516	https://front.v30.ultrasist.net/cofepris/operacion-de-maquila-submaquila/plaguicidas
98	cofepris	260601	https://front.v30.ultrasist.net/cofepris/aviso-sanitario/datos-de-la-solicitud
99	cofepris	260603	https://front.v30.ultrasist.net/cofepris/aviso-de-importacion/SolicitudePage
100	cofepris	260604	https://front.v30.ultrasist.net/cofepris/aviso-exportacion/pantallas
101	cofepris	260605	https://front.v30.ultrasist.net/cofepris/aviso-de-modificacion-module/datos-de-la-solicitud
102	cofepris	260701	https://front.v30.ultrasist.net/cofepris/permiso-certificados/registrarSolicitudIP
176	cofepris	260702	https://front.v30.ultrasist.net/cofepris/registrar-solicitud-mcp/registro
